,name,pdf_url
0,open_access/33575244,https://www.frontiersin.org/articles/10.3389/fpubh.2020.622007/pdf
1,open_access/33032267,nan
2,open_access/33588254,nan
3,open_access/33530326,https://www.mdpi.com/1422-0067/22/3/1187/pdf
4,open_access/33501657,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mrm.28671
5,open_access/33496675,https://medinform.jmir.org/2021/1/e24924/PDF
6,open_access/33584247,https://www.frontiersin.org/articles/10.3389/fnagi.2020.615467/pdf
7,open_access/33501599,https://cris.maastrichtuniversity.nl/ws/files/75369720/Aerts_2021_Small_whole_heart_volume_predicts.pdf
8,open_access/33496810,https://link.springer.com/content/pdf/10.1007/s00062-020-00993-0.pdf
9,open_access/33500529,https://www.nature.com/articles/s41598-021-81945-7.pdf
10,open_access/34527505,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09335590.pdf
11,open_access/33728252,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jmd2.12191
12,open_access/33315497,nan
13,open_access/33494752,https://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-021-01388-y
14,open_access/33936495,nan
15,open_access/33503947,https://www.mdpi.com/1424-8220/21/3/789/pdf
16,open_access/33936437,nan
17,open_access/33936436,nan
18,open_access/33503830,https://www.mdpi.com/2072-6694/13/3/439/pdf
19,open_access/33936455,nan
20,open_access/33936461,nan
21,open_access/33936389,nan
22,open_access/33936472,nan
23,open_access/33936470,nan
24,open_access/33105045,nan
25,open_access/33936391,nan
26,open_access/33508406,nan
27,open_access/33936448,nan
28,open_access/33568981,https://www.frontiersin.org/articles/10.3389/fnbot.2020.607706/pdf
29,open_access/33492233,https://medinform.jmir.org/2021/1/e19739/PDF
30,open_access/33936433,nan
31,open_access/33936481,nan
32,open_access/33568988,https://www.frontiersin.org/articles/10.3389/fnagi.2020.627199/pdf
33,open_access/33520007,https://link.springer.com/content/pdf/10.1007/s12559-020-09785-7.pdf
34,open_access/33936454,nan
35,open_access/33936511,nan
36,open_access/33171450,nan
37,open_access/33936492,nan
38,open_access/33936468,nan
39,open_access/33495415,https://doi.org/10.18632/aging.202545
